"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
981,,$41,"JIFFY LUBE NO.1147","1735 WEST 9000 SOUTH","WEST JORDAN",84088,40.587367,-111.939612,1,rooftop,1735,"W 9000 S","West Jordan",UT,"Salt Lake County",84088,US,"Utah AGRC (and individual UT counties)"
982,,$39,"JIFFY LUBE NO.967","9045 S 255 W",SANDY,84070,40.587207,-111.898995,1,rooftop,9045,"S 255 W",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
983,,$39,"JIFFY LUBE NO.3","9 WEST 3300 SOUTH","SALT LAKE CITY",84115,40.699532,-111.891473,1,rooftop,9,"W 3300 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
984,,$40,"JIFFY LUBE NO.1224","804 EAST 400 SOUTH","SALT LAKE CITY",84102,40.760398,-111.867657,1,rooftop,804,"E 400 S","Salt Lake City",UT,"Salt Lake County",84102,US,"Utah AGRC (and individual UT counties)"
985,,$39,"JIFFY LUBE NO.1025","5601 S 900 E",MURRAY,84121,40.649326,-111.865575,1,rooftop,5601,"S 900 E","Salt Lake City",UT,"Salt Lake County",84121,US,"Utah AGRC (and individual UT counties)"
986,,$44,"JIFFY LUBE NO.1163","2350 EAST 4500 SOUTH ","SALT LAKE CITY",84117,40.674079,-111.823123,1,rooftop,2350,"E 4500 S","Salt Lake City",UT,"Salt Lake County",84117,US,"Utah AGRC (and individual UT counties)"
987,,$40,"JIFFY LUBE NO.1119","2097 SOUTH 1200 EAST","SALT LAKE CITY",84105,40.725656,-111.85657,0.9,rooftop,2097,"S 1200 E","Salt Lake City",UT,"Salt Lake County",84106,US,"Utah AGRC (and individual UT counties)"
990,,$40,"JIFFY LUBE NO.2043","6390 HIGHLAND DRIVE","SALT LAKE CITY",84121,40.636221,-111.834402,1,range_interpolation,6390,"Highland Dr","Salt Lake City",UT,"Salt Lake County",84121,US,"TIGER/Line® dataset from the US Census Bureau"
993,,$41,"JIFFY LUBE NO.2021","757 W. NORTH TEMPLE","SALT LAKE CITY",84116,40.77139,-111.912503,1,range_interpolation,757,"W North Temple","Salt Lake City",UT,"Salt Lake County",84116,US,"TIGER/Line® dataset from the US Census Bureau"
994,,$38,"JIFFY LUBE NO.2525","1625 W. 12600 So.",RIVERTON,84065,40.522055,-111.936656,1,rooftop,1625,"W 12600 S",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
999,,$37,"JERRY SEINER CADILLAC","1530 S 500 W","SALT LAKE CITY",84115,40.73736,-111.90688,1,rooftop,1530,"S 500 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1001,,$40,"JIFFY LUBE No.2012","1331 EAST FORT UNION BLVD","SALT LAKE CITY",84121,40.626407,-111.853975,1,rooftop,1331,"E Fort Union Blvd","Salt Lake City",UT,"Salt Lake County",84121,US,"Utah AGRC (and individual UT counties)"
